,10,10,10
20% similarity (inter) (caveman),-0.14907119849998604,-0.14907119849998604,0.01785714285714284
75% similarity (inter) (caveman),0.2608745973749753,0.33508312663335615,0.5511855643405492
25% similarity (inter) (caveman),-0.12565617248750874,-0.1256561724875087,0.054267946334336875
std similarity (inter) (caveman),0.28221040747393417,0.3182171904530411,0.31940073012215087
PC1 percent of variance (inter) (caveman),27.503833335507576,36.53825463275931,47.189443748270236
expected PC1 percent of variance (inter) (caveman),21.135921460291474,21.737668453212464,18.24143713175169
expected 95% similarity (inter) (caveman),0.5528841189698298,0.5765676437339546,0.6119973515180894
expected 5% similarity (inter) (caveman),-0.1698140319058109,-0.17254543782788964,-0.0055666607965043
expected 10% similarity (inter) (caveman),-0.14881644538330233,-0.15089604443564875,0.06268120915425236
expected 15% similarity (inter) (caveman),-0.13308396400930525,-0.1323684420314331,0.1049438552869393
expected 20% similarity (inter) (caveman),-0.12264915987615814,-0.12352277196013041,0.1507282972973667
expected 25% similarity (inter) (caveman),-0.11345139128706105,-0.11346971541023743,0.17842987235314606
expected 75% similarity (inter) (caveman),0.23785304047450814,0.26028153652843317,0.4436367760251397
expected 80% similarity (inter) (caveman),0.3001041245537514,0.32566240822859505,0.46336653362869357
expected 85% similarity (inter) (caveman),0.3586945889552709,0.38072500537538617,0.5016792486664996
expected 90% similarity (inter) (caveman),0.45038914370721805,0.4683457525910044,0.5461560642137763
expected std similarity (inter) (caveman),0.2513561408228472,0.2582556504367613,0.18958379458101465
net PC1 percent of variance (inter) (caveman),6.367911875216102,14.800586179546848,28.948006616518544
net 95% similarity (inter) (caveman),0.06115096874946846,0.13054973069747677,0.21508937440594766
net 5% similarity (inter) (caveman),-0.02454847932152024,-0.04295312013241834,-0.20353058691324755
net 10% similarity (inter) (caveman),-0.022682139759206577,-0.02060254070686024,-0.15564523931752208
net 15% similarity (inter) (caveman),-0.02481077283280006,-0.028247064470752897,-0.14238871101052855
net 20% similarity (inter) (caveman),-0.0264220386238279,-0.02554842653985563,-0.13287115444022385
net 25% similarity (inter) (caveman),-0.012204781200447684,-0.012186457077271284,-0.12416192601880918
net 75% similarity (inter) (caveman),0.02302155690046717,0.07480159010492299,0.10754878831540954
net 80% similarity (inter) (caveman),0.24906552281152466,0.261361822828032,0.26288003247429376
net 85% similarity (inter) (caveman),0.05793595643465754,0.08218504451088954,0.14547098026293448
net 90% similarity (inter) (caveman),0.09878050365805802,0.11867847846562263,0.18009050188921105
net std similarity (inter) (caveman),0.03085426665108698,0.05996154001627979,0.1298169355411362
% susceptible (indep) (caveman),0.06136363636363638,0.05454545454545456,0.23409090909090907
% adopted (indep) (caveman),0.07272727272727274,0.054545454545454564,0.2090909090909091
95% similarity (indep) (caveman),0.6900655593423538,0.6708203932499369,0.6836808856492554
5% similarity (indep) (caveman),-0.12017299343396796,-0.14907119849998604,-0.288675134594813
90% similarity (indep) (caveman),0.4629100498862755,0.44999999999999984,0.5830951894845301
10% similarity (indep) (caveman),-0.11834526708278768,-0.1028688999747279,-0.24333213169614376
85% similarity (indep) (caveman),0.33508312663335627,-0.04761904761904758,0.4166305453899283
15% similarity (indep) (caveman),-0.10000000000000009,-0.10000000000000003,-0.2073516630913533
80% similarity (indep) (caveman),-0.04761904761904758,-0.04761904761904764,0.33508312663335627
20% similarity (indep) (caveman),-0.08671099695241201,-0.10000000000000003,-0.1714985851425089
75% similarity (indep) (caveman),-0.04761904761904759,-0.0690065559342354,0.3020432885159581
25% similarity (indep) (caveman),-0.08671099695241194,-0.10000000000000003,-0.14583333333333334
std similarity (indep) (caveman),0.2610274722998991,0.23910551421375625,0.30420364304803194
PC1 percent of variance (indep) (caveman),31.22258137960682,28.18488445678969,30.616859006266615
expected PC1 percent of variance (indep) (caveman),23.32986413316358,22.99463374045575,18.971607716997834
expected 95% similarity (indep) (caveman),0.6459423680980145,0.587578375452379,0.5036210570950295
expected 5% similarity (indep) (caveman),-0.13289341799812138,-0.12110088596224627,-0.23826811136039822
expected 10% similarity (indep) (caveman),-0.11788704477307103,-0.10874182197660141,-0.1953731234480979
expected 15% similarity (indep) (caveman),-0.10530450107641434,-0.09869575180405862,-0.16609557392145352
expected 20% similarity (indep) (caveman),-0.09800865059119726,-0.09122426355476111,-0.13235740592798362
expected 25% similarity (indep) (caveman),-0.09231558169237494,-0.08418300180721935,-0.09078825961087944
expected 75% similarity (indep) (caveman),0.07048116475255668,-0.044517466189381946,0.26532540080168016
expected 80% similarity (indep) (caveman),0.28674453309646875,-0.03810970315256732,0.3122223474265214
expected 85% similarity (indep) (caveman),0.3954885751195759,0.06709606727450626,0.3563954408209203
expected 90% similarity (indep) (caveman),0.503607090591242,0.35522232957497535,0.41503505423404535
expected std similarity (indep) (caveman),0.26522977078695603,0.23090230272339674,0.2353103656159843
net PC1 percent of variance (indep) (caveman),7.89271724644324,5.190250716333939,11.645251289268781
net 95% similarity (indep) (caveman),0.04412319124433928,0.08324201779755791,0.18005982855422598
net 5% similarity (indep) (caveman),0.012720424564153412,-0.027970312537739767,-0.05040702323441476
net 10% similarity (indep) (caveman),-0.00045822230971664935,0.005872922001873518,-0.04795900824804586
net 15% similarity (indep) (caveman),0.005304501076414253,-0.0013042481959414098,-0.041256089169899784
