,surv,upper,lower,std.err,hazard
64.0,0.7777672227558725,0.8760370738325002,0.6905208392357179,0.060705741163499236,0.00686523431666352
65.0,0.7718402765985977,0.8689071823260863,0.6856168612583351,0.060439178531589935,0.006927647822548132
66.0,0.7667180254768451,0.8627527788075807,0.6813730943916455,0.06020982172032043,0.006437653087264939
67.0,0.7638204679577469,0.8592743346298429,0.6789702470544721,0.06008042243086274,0.006370201069815255
68.0,0.7587515243761688,0.8531965968911289,0.674761104400379,0.05985599023176148,0.0062718236322918085
69.0,0.7551627047529034,0.8488976137423927,0.6717779640534784,0.05969770600259452,0.005967449645503588
70.0,0.7488039435944942,0.8412880911257891,0.6664867289707322,0.059417882310689174,0.005971572878026644
71.0,0.7418722377213773,0.8330039842662811,0.660710428047119,0.0591140081441658,0.0060681506350077205
72.0,0.7370959626777531,0.8273029573743894,0.6567249075479525,0.05890560793794674,0.00631975557219996
73.0,0.729706421195645,0.8184944654349096,0.6505498635734839,0.05858489874283505,0.00655708739027901
74.0,0.7218463577020826,0.8091395081596129,0.6439707373427033,0.0582454486604463,0.006389360701504215
75.0,0.7192475028584486,0.8060505373854796,0.6417922300158654,0.0581341605725869,0.006471238296332905
76.0,0.7160154629857503,0.8022116365372939,0.6390809106779449,0.057996318724131676,0.006305543043282034
77.0,0.7140839039322631,0.7999190228358944,0.6374593036970594,0.05791432116762875,0.006471189350890714
78.0,0.7121654351745461,0.7976425243869261,0.6358482547644668,0.05783284609052103,0.006706098854702014
79.0,0.7064654345115643,0.7908849461614771,0.631056911538396,0.057591966374634915,0.00661614136041817
80.0,0.7002329660638331,0.7835058486334365,0.6258105269770625,0.05733033514310944,0.006429849174920809
81.0,0.694041354374173,0.7761883624971591,0.6205882824789802,0.057074331306171955,0.0063199786683731975
82.0,0.6903958495558036,0.7718839380368892,0.6175104918315701,0.05692401925268915,0.006175967511203875
83.0,0.6873964664486011,0.7683445272956837,0.6149765961750441,0.056800539570801396,0.0061047166349750175
84.0,0.683808268781903,0.7641142964076603,0.6119421540112617,0.05665400586467408,0.005918852641079535
85.0,0.6808608049488912,0.7606417059177044,0.6094478295356709,0.05653394622562137,0.005612790042641794
86.0,0.6739488544246759,0.7525056536469701,0.6035928861114003,0.056253200210449154,0.005764480332238813
87.0,0.6683241076143521,0.745894090429235,0.5988210919111134,0.056026710858184336,0.006018681220842301
88.0,0.665155424072911,0.7421740865320741,0.5961293272529611,0.05590055103756589,0.006100909212784574
89.0,0.6647831379528214,0.7417373046700446,0.5958128551163052,0.055885838849673186,0.006259482337181101
90.0,0.6605266546735925,0.7367465447592458,0.5921920712330602,0.05571858360794978,0.0062048559927743
91.0,0.656135996936635,0.7316040708924508,0.5884527770461567,0.05554763569271426,0.005878878769116381
92.0,0.6528630613918598,0.727775488926695,0.5856616279606797,0.055422024153280125,0.005807003626775269
93.0,0.6485186106286498,0.7226999609139071,0.5819515867484046,0.055257856703276195,0.005851450750260751
94.0,0.6452864659747115,0.7189276750211979,0.5791884751113996,0.0551369196777875,0.005942542007837019
95.0,0.6410691742219964,0.7140068721867672,0.5755822566353013,0.054978146873716466,0.006021703249145175
96.0,0.6348779828421425,0.7067893993300667,0.5702831056097306,0.05474584470323443,0.006110394301549871
97.0,0.6323366457671596,0.7038292447302068,0.5681060236895008,0.054650931241956524,0.0058437577765320685
98.0,0.6288151547671985,0.6997299963803547,0.56508724998576,0.05451996594351598,0.00560355579695221
99.0,0.6243520516140558,0.6945391051023756,0.5612577916649077,0.05435511761274386,0.005588483411366472
100.0,0.6228881780473334,0.692837545941659,0.5600009484178894,0.054301257584057044,0.005862619608436533
101.0,0.6180832722066099,0.6872558673708651,0.5558729287882556,0.05412520096307005,0.005988576056863701
102.0,0.6143016415816772,0.6828676489080618,0.5526202740291543,0.0539882142045338,0.005865245402330309
103.0,0.6105741970855909,0.6785459447735089,0.5494113602929986,0.05385422729169804,0.0058620682439023625
104.0,0.6064285991134232,0.6737442359234075,0.5458386524355751,0.05370689076879654,0.005769092931723937
105.0,0.6028183141170248,0.6695651452554786,0.5427252634188975,0.053578850186969444,0.00583044374986183
106.0,0.5997454950858887,0.6660078904321516,0.5400756723474924,0.05346838288563585,0.005841484432899805
107.0,0.5975672949364956,0.6634880302869854,0.5381961025329519,0.053390730238794586,0.005488457968427109
108.0,0.5949811003712698,0.6604976618609192,0.5359633050049302,0.05329890950429869,0.00540573774354641
109.0,0.5915955697732396,0.6565846028204451,0.5330391798283363,0.053178687718143276,0.0054072924239794975
110.0,0.5862117163935792,0.6503670902622765,0.5283849411432967,0.05298868929050726,0.005191331853131345
111.0,0.5837759338393987,0.6475559468365664,0.5262778341504581,0.052902982497354714,0.005160247096683965
112.0,0.5809636742993849,0.6443126866683031,0.5238431554106568,0.05280500826197644,0.005037964599401989
113.0,0.5781654573841912,0.6410887881636195,0.5214180976493727,0.0527090591635255,0.005062382437042194
114.0,0.574597298660587,0.6369817048482889,0.518322666279213,0.052588460750962615,0.004829397156086172
115.0,0.570657456974589,0.6324524326554753,0.5149002776910825,0.052458047123613225,0.004813452954247503
116.0,0.5690826685806791,0.630643579105016,0.5135310885722634,0.05240664718242158,0.004901212227177219
