,surv,upper,lower,std.err,hazard
220.0,0.9461467462427354,0.957628899141876,0.9348022665438475,0.006154527686939964,0.0001845514034189958
221.0,0.9457975244367184,0.9573204230198711,0.9344133225621752,0.006178502779967693,0.0001845854689263369
222.0,0.9457975244367184,0.9573204230198711,0.9344133225621752,0.006178502779967693,0.0001846195470119951
223.0,0.9457975244367184,0.9573204230198711,0.9344133225621752,0.006178502779967693,0.00018465363768293828
224.0,0.9454471525101854,0.957010419914381,0.9340236005680983,0.0062023010382983475,0.00018477247913296192
225.0,0.9454471525101854,0.957010419914381,0.9340236005680983,0.0062023010382983475,0.00016635354252891822
226.0,0.9447503079396739,0.9563932089899765,0.9332491447683031,0.006249332580446107,0.00015717014547178603
227.0,0.9445757152643945,0.9562384319909563,0.9330552428023713,0.006261055696189545,0.00014798249818377514
228.0,0.9440519914515877,0.9557740435079778,0.932473704028006,0.006296181322659501,0.0002040548802305921
229.0,0.9437018498002535,0.9554632746023898,0.932085204098532,0.006319528351853099,0.00026019488651717455
230.0,0.9437018498002535,0.9554632746023898,0.932085204098532,0.006319528351853099,0.0002602626055162816
231.0,0.9437018498002535,0.9554632746023898,0.932085204098532,0.006319528351853099,0.00029795088455596917
232.0,0.9437018498002535,0.9554632746023898,0.932085204098532,0.006319528351853099,0.0003734993094464948
233.0,0.9433506965447642,0.9551510461423066,0.931696133575616,0.0063426591208192796,0.0003830310128335044
234.0,0.9433506965447642,0.9551510461423066,0.931696133575616,0.0063426591208192796,0.0004113730719855354
235.0,0.9433506965447642,0.9551510461423066,0.931696133575616,0.0063426591208192796,0.00042112661564112057
236.0,0.9433506965447642,0.9551510461423066,0.931696133575616,0.0063426591208192796,0.00044950753373773096
237.0,0.9422920256239339,0.9542070824866898,0.9305257504906875,0.006411078511188894,0.0004126838367375274
238.0,0.9412327853964411,0.9532613744065254,0.9293559773747175,0.006479017546201915,0.0004224568128757664
239.0,0.9412327853964411,0.9532613744065254,0.9293559773747175,0.006479017546201915,0.0004325539934457478
240.0,0.9405228769499651,0.9526266451255533,0.9285728953651656,0.0065241434726930735,0.00045195072274731686
241.0,0.9387502990062827,0.951040444591402,0.9266189770330954,0.00663638140155385,0.0004899800236056977
242.0,0.938573220926533,0.9508818467727107,0.9264239236997295,0.006647543370763549,0.0004996793048419589
243.0,0.9380418551094158,0.9504057624375439,0.9258387908763743,0.0066809605694623,0.0005283332657795389
244.0,0.9375109405225384,0.9499297453220595,0.9252544920732567,0.006714207946783267,0.0005573930362288461
245.0,0.9369799027604088,0.9494534801383104,0.9246701987431901,0.00674742065719438,0.0005672317729077469
246.0,0.9369799027604088,0.9494534801383104,0.9246701987431901,0.00674742065719438,0.0006056041177291828
247.0,0.9366246541421651,0.9491345032701285,0.9242796882047982,0.006769461493995818,0.0006059710963203394
248.0,0.9359144112020974,0.94849660354444,0.923499126746982,0.0068134809263854694,0.0005497566113884345
