,n_exposures,max_similarity_to_exposer,have_belief,references,pl2,n_existing_beliefs,in_deads,n_fresh_candidates,startup,treatment,game_player_clue_id,game_player_id,game_id,start,stop,adopt_event,forget_event,treatment_n_exposures,treatment_references,treatment_pl2,treatment_n_existing_beliefs,treatment_n_fresh_candidates,treatment_max_similarity_to_exposer,treatment_in_deads,mse_game_2020_02_25T20_36_00_288Z,treatment_mse_game_2020_02_25T20_36_00_288Z,control_mse_game_2020_02_25T20_36_00_288Z
27,1,0.375,False,0,0.0,7,True,1,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,445.744,449.926,0.0,False,0,0,0.0,0,0,0.0,0.0,0.375,0.0,0.375
28,1,0.375,False,0,0.0,7,True,2,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,449.926,464.667,0.0,False,0,0,0.0,0,0,0.0,0.0,0.375,0.0,0.375
29,1,0.375,False,0,0.0,8,True,1,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,464.667,468.262,0.0,False,0,0,0.0,0,0,0.0,0.0,0.375,0.0,0.375
30,1,0.375,False,0,0.0,8,True,0,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_6,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,468.262,491.134,0.0,False,0,0,0.0,0,0,0.0,0.0,0.375,0.0,0.375
31,1,0.18181818181818182,False,1,0.0,6,False,10,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,126.131,128.271,0.0,False,0,0,0.0,0,0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182
32,1,0.18181818181818182,False,1,0.0,7,False,9,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,128.271,137.768,0.0,False,0,0,0.0,0,0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182
33,2,0.2857142857142857,False,1,0.0,7,False,9,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,137.768,143.868,0.0,False,0,0,0.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857
34,2,0.2857142857142857,False,1,0.0,6,False,9,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,143.868,150.519,0.0,False,0,0,0.0,0,0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857
35,2,0.42857142857142855,False,1,0.0,7,False,8,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,150.519,151.948,0.0,False,0,0,0.0,0,0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855
36,2,0.42857142857142855,False,1,0.0,7,False,9,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,151.948,160.374,0.0,False,0,0,0.0,0,0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855
37,2,0.5714285714285714,False,2,0.0,8,False,8,False,False,2020_02_25T20_36_00_288Z_c0_cclue_1_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,160.374,178.884,1.0,False,0,0,0.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714
38,1,0.5833333333333334,False,0,0.0,7,False,1,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_10,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,445.744,449.926,0.0,False,0,0,0.0,0,0,0.0,0.0,0.5833333333333334,0.0,0.5833333333333334
39,1,0.5833333333333334,False,0,0.0,7,False,2,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_10,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,449.926,464.667,1.0,False,0,0,0.0,0,0,0.0,0.0,0.5833333333333334,0.0,0.5833333333333334
40,1,0.5454545454545454,False,0,0.0,11,False,4,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_4,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,259.453,267.383,1.0,False,0,0,0.0,0,0,0.0,0.0,0.5454545454545454,0.0,0.5454545454545454
41,1,0.2222222222222222,False,1,0.0,6,False,8,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,109.189,118.605,0.0,False,0,0,0.0,0,0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222
42,2,0.25,False,1,0.0,6,False,8,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,118.605,120.751,0.0,False,0,0,0.0,0,0,0.0,0.0,0.25,0.0,0.25
43,2,0.25,False,1,0.0,6,False,9,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,120.751,126.131,0.0,False,0,0,0.0,0,0,0.0,0.0,0.25,0.0,0.25
44,2,0.25,False,1,0.0,6,False,10,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,126.131,128.271,0.0,False,0,0,0.0,0,0,0.0,0.0,0.25,0.0,0.25
45,2,0.25,False,1,0.0,7,False,9,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,128.271,130.888,0.0,False,0,0,0.0,0,0,0.0,0.0,0.25,0.0,0.25
46,3,0.5714285714285714,False,1,0.0,7,False,9,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,130.888,143.868,0.0,False,0,0,0.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714
47,3,0.42857142857142855,False,1,0.0,6,False,9,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,143.868,150.519,0.0,False,0,0,0.0,0,0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855
48,3,0.42857142857142855,False,1,0.0,7,False,8,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,150.519,151.948,0.0,False,0,0,0.0,0,0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855
49,3,0.42857142857142855,False,1,0.0,7,False,9,False,False,2020_02_25T20_36_00_288Z_c0_cclue_2_9,2020_02_25T20_36_00_288Z_c0,2020_02_25T20_36_00_288Z,151.948,160.374,1.0,False,0,0,0.0,0,0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855
50,1,0.8461538461538461,False,0,0.0,12,False,1,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_11,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,315.772,318.244,0.0,False,0,0,0.0,0,0,0.0,0.0,0.8461538461538461,0.0,0.8461538461538461
51,1,0.8461538461538461,False,0,0.0,12,False,2,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_11,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,318.244,326.603,0.0,False,0,0,0.0,0,0,0.0,0.0,0.8461538461538461,0.0,0.8461538461538461
52,1,0.8461538461538461,False,0,0.0,12,False,3,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_11,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,326.603,328.225,1.0,False,0,0,0.0,0,0,0.0,0.0,0.8461538461538461,0.0,0.8461538461538461
53,1,0.8461538461538461,False,0,0.0,12,True,1,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_11,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,350.238,372.594,0.0,False,0,0,0.0,0,0,0.0,0.0,0.8461538461538461,0.0,0.8461538461538461
54,1,0.8461538461538461,False,0,0.0,13,True,0,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_11,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,372.594,380.37,0.0,False,0,0,0.0,0,0,0.0,0.0,0.8461538461538461,0.0,0.8461538461538461
55,1,0.8461538461538461,False,0,0.0,12,True,0,False,False,2020_02_25T20_36_00_288Z_c10_cclue_1_11,2020_02_25T20_36_00_288Z_c10,2020_02_25T20_36_00_288Z,380.37,391.131,0.0,False,0,0,0.0,0,0,0.0,0.0,0.8461538461538461,0.0,0.8461538461538461
